Row Labels,FullRound,Spiral,Straight,ZigZag,Grand Total
10,24.135,43.74605263,69.2675,38.8575,43.95459184
139.63488,26.125,45.575,71.375,40.275,45.8375
149.94671,25.325,46.765,63.275,37.975,44.27045455
151.42865,22.3375,37.915,62.1625,39.15,39.71590909
165.327,24.2625,46.2,72.5,38.3125,45.55909091
190.58485,22.625,42.8125,77.025,38.575,45.259375
20,9.03,23.52894737,46.6825,23.44,25.27704082
139.63488,10.55,21.825,46.775,22.9125,25.515625
149.94671,8.725,22.775,41.475,18.575,22.85681818
151.42865,7.875,21.565,35.8,21.6125,21.67272727
165.327,9.35,26.555,52.7,24.5875,27.82272727
190.58485,8.65,24.4625,56.6625,29.5125,29.821875
30,3.2575,14.65921053,27.16,15.385,15.03163265
139.63488,3.6625,20.05,27.8625,20.2625,17.959375
149.94671,2.8875,13.98,21.1375,9.1,12.37727273
151.42865,2.4,10.745,17.125,12.625,10.72954545
165.327,3.8125,16.56,33.2125,13.75,16.75909091
190.58485,3.525,16,36.4625,21.1875,19.29375
40,1.305,8.069736842,15.04,9.1075,8.323469388
139.63488,1.4125,13.8875,11.5125,13.9875,10.2
149.94671,0.9,6.665,10.4,5.05,6.002272727
151.42865,0.7875,4.56,11.1375,7.3,5.568181818
165.327,1.575,8.965,18.5875,6.225,8.872727273
190.58485,1.85,12.3,23.5625,12.975,12.671875
50,0.51,3.989473684,6.185,4.895,3.912244898
139.63488,0.4875,5.1875,3.6,3.9,3.29375
149.94671,0.4625,2.81,3.7875,2.35,2.477272727
151.42865,0.2,2.465,3.25,5.0125,2.659090909
165.327,0.65,5.24,9.3,2.7875,4.697727273
190.58485,0.75,6.425,10.9875,10.425,7.146875